rs,name,lon,lat
39,Dlhe Pole,18.631,49.301
24,Dolny Hricov,18.637,49.231
66,Fackov,18.601,49.01
39,Horky,18.693,49.206
24,Jasenove,18.641,49.107
46,Kamenna Poruba,18.688,49.094
28,Konska,18.675,49.116
33,Kotrcina Lucka,18.839,49.25
79,Lietava,18.674,49.168
46,Zlata Bana,21.418,48.95
24,Cigel,18.641,48.714
46,Cavoj,18.491,48.884
33,Cerenany,18.489,48.646
46,Diviacka Nova Ves,18.5,48.744
39,Diviaky nad Nitricou,18.494,48.765
46,Dolne Vestenice,18.399,48.702
28,Horna Ves,18.491,48.607
66,Chrenovec-Brusno,18.726,48.774
39,Chvojnica,18.563,48.88
28,Kamenec pod Vtacnikom,18.549,48.67
79,Kanianka,18.585,48.817
28,Klacno,18.651,48.905
33,Kos,18.59,48.74
24,Lazany,18.621,48.819
55,Lehota pod Vtacnikom,18.606,48.692
112,Liestany,18.478,48.824
28,Mala Causa,18.702,48.798
24,Malinova,18.614,48.853
46,Nedozery-Brezany,18.648,48.816
39,Nevidzany,18.487,48.843
94,Nitrianske Pravno,18.637,48.87
66,Nitrianske Rudno,18.477,48.789
33,Nitrianske Sucany,18.468,48.728
24,Nitrica,18.45,48.706
94,Novaky,18.543,48.72
28,Opatovce nad Nitrou,18.569,48.761
66,Oslany,18.47,48.629
28,Poruba,18.594,48.829
55,Pravenec,18.645,48.84
33,Radobica,18.503,48.584
33,Rudnianska Lehota,18.464,48.807
66,Sebedrazie,18.626,48.726
28,Sutovce,18.536,48.801
33,Temes,18.477,48.869
46,Tuzina,18.615,48.895
112,Valaska Bela,18.397,48.89
94,Zubak,18.218,49.149
46,Dohnany,18.286,49.147
33,Dolna Breznica,18.261,49.08
46,Lazy pod Makytou,18.213,49.215
46,Budina,19.478,48.456
28,Nizny Lanec,21.111,48.539
33,Novacany,21.071,48.688
33,Nova Polhora,21.318,48.83
28,Novy Salas,21.474,48.611
24,Olsovany,21.407,48.706
39,Opina,21.427,48.854
79,Panovce,21.063,48.647
24,Peder,20.952,48.579
66,Perin-Chym,21.188,48.535
46,Poproc,20.975,48.71
33,Resica,21.041,48.544
79,Rozhanovce,21.344,48.752
33,Rudnik,21.008,48.692
39,Ruskov,21.434,48.683
66,Sady nad Torysou,21.349,48.708
66,Sena,21.259,48.558
33,Skaros,21.381,48.586
94,Slanec,21.474,48.631
46,Slanska Huta,21.464,48.599
33,Slanske Nove Mesto,21.523,48.631
28,Sokol,21.22,48.813
55,Semsa,21.114,48.676
46,Stos,20.791,48.708
39,Trebejov,21.22,48.834
24,Trstany,21.407,48.761
66,Trstene pri Hornade,21.335,48.574
28,Vajkovce,21.326,48.782
46,Valaliky,21.298,48.637
66,Velka Ida,21.168,48.587
33,Velka Lodina,21.159,48.863
24,Vtackovce,21.383,48.842
39,Vysna Hutka,21.355,48.676
33,Vysna Kamenica,21.481,48.778
24,Vysna Mysla,21.389,48.634
33,Vysny Klatov,21.125,48.744
46,Opatka,21.058,48.787
112,Hlinik nad Hronom,18.782,48.54
33,Horna Zdana,18.751,48.563
24,Hronska Dubrava,18.992,48.577
39,Ihrac,18.951,48.656
112,Janova Lehota,18.781,48.657
79,Jastraba,18.936,48.629
24,Kopernica,18.873,48.668
46,Krahule,18.941,48.725
55,Kunesov,18.87,48.732
33,Lovca,18.814,48.572
55,Lovcica-Trubin,18.789,48.616
24,Lucky,18.894,48.697
66,Prestavlky,18.757,48.588
46,Prochot,18.704,48.615
24,Kocelovce,20.338,48.706
24,Krasnohorska Dlha Luka,20.578,48.625
55,Krasnohorske Podhradie,20.599,48.647
55,Kunova Teplica,20.381,48.612
39,Lucka,20.719,48.634
39,Markuska,20.326,48.729
33,Meliata,20.332,48.517
39,Nizna Slana,20.409,48.725
66,Paca,20.61,48.68
46,Paskova,20.383,48.591
230,Plesivec,20.408,48.548
79,Rejdova,20.287,48.791
24,Rochovce,20.299,48.702
46,Rostar,20.351,48.693
24,Rozlozna,20.349,48.617
33,Rudna,20.488,48.657
79,Silica,20.523,48.552
46,Silicka Brezova,20.483,48.533
66,Silicka Jablonica,20.607,48.558
46,Slavec,20.469,48.587
134,Slavosovce,20.277,48.715
39,Stratena,20.338,48.871
94,Stitnik,20.365,48.656
94,Vlachovo,20.414,48.771
24,Vysna Slana,20.315,48.785
66,Brzotin,20.499,48.629
28,Cucma,20.542,48.685
79,Topolniky,17.786,47.96
66,Narad,17.613,47.835
28,Trnavka,17.405,48.015
33,Trstena na Ostrove,17.499,47.918
28,Velka Paka,17.406,48.041
55,Vrakun,17.607,47.936
46,Vydrany,17.586,48.018
55,Zlate Klasy,17.422,48.12
33,Bodiky,17.461,47.928
28,Dunajsky Klatov,17.692,48.03
33,Horne Myto,17.75,48.012
55,Trhova Hradska,17.749,47.989
39,Mad,17.662,47.95
46,Vieska,17.529,48.002
28,Cenkovce,17.433,48.105
39,Potonske Luky,17.588,48.095
112,Galanta,17.737,48.194
28,Abraham,17.622,48.243
46,Cierna Voda,17.648,48.126
46,Cierny Brod,17.66,48.149
33,Dolne Saliby,17.783,48.107
55,Dolny Chotar,17.867,48.001
28,Gan,17.722,48.227
33,Horne Saliby,17.748,48.124
33,Hoste,17.64,48.26
33,Janovce,17.529,48.177
33,Oravska Poruba,19.26,49.196
33,Oravsky Podzamok,19.366,49.262
39,Osadka,19.383,49.185
39,Parnica,19.202,49.196
33,Pokryvac,19.395,49.202
46,Pucov,19.383,49.218
28,Vysny Kubin,19.317,49.183
79,Zazriva,19.15,49.259
112,Zaskov,19.216,49.17
33,Bziny,19.323,49.228
46,Horny Vadicov,18.878,49.264
112,Kysucke Nove Mesto,18.785,49.301
39,Kysucky Lieskovec,18.844,49.337
79,Zehna,21.343,48.917
39,Zipov,21.089,48.967
33,Medzany,21.153,49.043
28,Bajerovce,20.794,49.21
66,Brezovica,20.846,49.144
