rs,name,lon,lat
94,Echtenerbrug,5.822,52.872
55,Heteren,5.758,51.954
39,Erm,6.819,52.755
192,Ter Apel,7.065,52.88
39,Budel-Schoot,5.569,51.251
28,Nieuwersluis,5.008,52.197
79,Ten Boer,6.693,53.278
28,Leiden,4.503,52.159
24,Oostknollendam,4.792,52.517
55,Nieuw-Schoonebeek,6.986,52.647
66,Nieuwehorne,6.062,52.953
55,De Wilp,6.252,53.118
39,Gerwen,5.562,51.489
66,Bavel,4.831,51.566
94,Swifterbant,5.643,52.566
66,Oostkapelle,3.553,51.566
39,Noordhoek,4.533,51.643
33,Elshout,5.142,51.702
28,Oudebildtzijl,5.717,53.301
28,Beringe,5.948,51.337
46,Nieuwdorp,3.739,51.469
276,Balk,5.583,52.897
55,Slagharen,6.556,52.626
46,Beek en Donk,5.631,51.531
24,Nieuwendijk,4.317,51.756
24,Glimmen,6.63,53.14
39,Hommerts,5.65,52.978
33,Nieuw-Vossemeer,4.217,51.586
55,Oirschot,5.313,51.507
46,Leveroy,5.844,51.25
39,Westenschouwen,3.708,51.675
66,Wijster,6.516,52.817
46,Harfsen,6.297,52.208
55,Wanroij,5.82,51.658
112,Beekbergen,5.963,52.159
55,Appelscha,6.351,52.955
24,Berghuizen,6.289,52.713
66,Varsseveld,6.463,51.945
112,Winschoten,7.035,53.146
33,Ulrum,6.334,53.359
39,Hoornaar,4.945,51.882
33,Wekerom,5.718,52.114
46,Oosterbeek,5.845,51.988
24,Overlangel,5.672,51.775
33,Zwartsluis,6.067,52.64
112,Hoofddorp,4.668,52.308
24,Hobrede,4.98,52.545
39,Kesteren,5.574,51.936
28,Meerstad,6.652,53.222
66,Albergen,6.762,52.373
28,Linden,5.832,51.75
24,Groessen,6.033,51.932
66,Hoek,3.779,51.309
24,Geijsteren,6.05,51.551
46,Scherpenzeel,5.875,52.831
24,Spijk,6.15,51.849
66,Wapserveen,6.217,52.824
55,Lierop,5.679,51.418
33,De Groeve,6.71,53.111
24,Groeningen,5.997,51.608
46,Angeren,5.958,51.916
55,Punthorst,6.263,52.612
55,Haaren,5.227,51.604
79,Burdaard,5.88,53.293
46,Den Oever,5.028,52.93
28,Hoge Enk,5.84,52.431
55,Beltrum,6.563,52.067
28,Hoorn,6.062,52.402
94,Lemmer,5.704,52.849
39,Oudeschild,4.847,53.039
94,Boekel,5.678,51.602
46,Oudemirdum,5.529,52.85
24,Valburg,5.788,51.911
134,Uden,5.621,51.662
28,Haarsteeg,5.199,51.711
55,Buren,5.334,51.911
33,Mesch,5.731,50.764
24,Nij Beets,6.003,53.07
39,Oppenhuizen,5.696,53.012
28,'s-Heer Abtskerke,3.882,51.471
55,Tollebeek,5.678,52.679
39,Knegsel,5.348,51.4
112,Emmer-Compascuum,7.04,52.812
28,Lennisheuvel,5.316,51.573
331,Schagen,4.791,52.788
160,Maastricht,5.707,50.856
33,Goedereede,3.977,51.819
79,Schoorl,4.689,52.711
24,Van Ewijcksluis,4.876,52.882
28,Eemdijk,5.33,52.254
55,Emst,5.975,52.315
28,Kanis,4.895,52.126
33,Langeweg,4.665,51.647
24,Harbrinkhoek,6.72,52.384
39,Steensel,5.355,51.378
33,Katwijk aan Zee,4.401,52.201
39,Lepelstraat,4.274,51.548
33,Asenray,6.049,51.192
28,Koningslust,5.995,51.357
230,Winterswijk,6.72,51.973
33,Rhoon,4.421,51.856
33,Vrouwenpolder,3.617,51.576
39,Waarde,4.066,51.417
33,Gassel,5.78,51.74
33,De Wilgen,6.033,53.1
55,Eede,3.444,51.246
79,Putten,5.61,52.262
33,Lithoijen,5.462,51.799
55,Oudega,5.55,52.993
39,Eexterveen,6.802,53.054
39,Scheerwolde,6.016,52.757
28,Olland,5.406,51.58
39,Kunrade,5.932,50.876
24,Kattendijke,3.945,51.523
230,Harlingen,5.437,53.17
24,Boerhaar,6.151,52.374
39,Dijkerhoek,6.351,52.28
24,Lottum,6.157,51.46
39,Vuren,5.05,51.824
66,Sellingen,7.149,52.947
46,Rekken,6.723,52.096
66,Hooghalen,6.54,52.921
66,Overloon,5.947,51.572
28,Westwoud,5.137,52.685
24,Schildwolde,6.815,53.233
24,Nijbroek,6.064,52.292
66,Sas van Gent,3.796,51.228
28,Noordwijkerhout,4.494,52.258
39,Tungelroy,5.733,51.213
79,Ysselsteyn,5.896,51.49
160,Coevorden,6.75,52.664
192,Baarle-Nassau,4.93,51.444
33,Zevenhuizen,4.578,52.012
79,Warffum,6.561,53.392
28,Oostrum,6.018,51.529
39,Hemrik,6.138,53.032
55,Lettele,6.273,52.276
28,Leidschendam,4.396,52.09
24,Voorhout,4.486,52.223
112,Wezep,6.001,52.46
46,Hoog Soeren,5.874,52.219
24,Hoogland,5.374,52.184
46,Sassenheim,4.521,52.225
39,Wiuwert,5.689,53.109
39,Groede,3.507,51.378
33,Wjelsryp,5.607,53.168
24,Jabeek,5.942,50.98
55,Kolham,6.733,53.183
28,Oeffelt,5.935,51.698
55,Zuidbroek,6.863,53.165
46,Ottoland,4.874,51.892
